time,theta_deg
7.7077,0.006014328
7.741066667,0.017791505
7.774433333,0.025762551
7.8078,0.036468377
7.841166667,0.042347153
7.874533333,0.039950182
7.9079,0.040257192
7.941266667,0.037367798
7.974633333,0.026365452
8.008,0.018876556
8.041366667,0.007792947
8.074733333,-0.001487465
8.1081,-0.012170755
8.141466667,-0.017042458
8.174833333,-0.020357918
8.2082,-0.020387061
8.241566667,-0.020361056
8.274933333,-0.015723759
8.3083,-0.011722955
8.341666667,-0.005354859
8.375033333,0.00109444
8.4084,0.001587521
8.441766667,0.003714098
8.475133333,0.005274498
8.5085,0.005839505
8.541866667,0.004349941
8.575233333,0.002690186
8.6086,0.001254326
8.641966667,0.000601441
8.675333333,-0.000585564
8.7087,0.00144226
8.742066667,0.002324146
8.775433333,0.005074822
8.8088,0.01083046
8.842166667,0.018485098
8.875533333,0.024224993
8.9089,0.030263429
8.942266667,0.034105666
8.975633333,0.036630372
9.009,0.034956462
9.042366667,0.03301068
9.075733333,0.023007294
9.1091,0.010699998
9.142466667,-0.00226361
9.175833333,-0.015205201
9.2092,-0.029628517
9.242566667,-0.038898023
9.275933333,-0.045664558
9.3093,-0.051074791
9.342666667,-0.052414001
9.376033333,-0.047858425
9.4094,-0.038650861
9.442766667,-0.027425455
9.476133333,-0.012170852
9.5095,0.002556874
9.542866667,0.018911558
9.576233333,0.036420591
9.6096,0.046959719
9.642966667,0.053442235
9.676333333,0.060394428
9.7097,0.059338525
9.743066667,0.053377794
9.776433333,0.043154901
9.8098,0.031252343
9.843166667,0.017692795
9.876533333,0.004584825
9.9099,-0.008957069
9.943266667,-0.020408857
9.976633333,-0.023983377
10.01,-0.032012878
10.04336667,-0.032110197
10.07673333,-0.02972232
10.1101,-0.025480074
10.14346667,-0.017490523
10.17683333,-0.006418739
10.2102,0.004745414
10.24356667,0.016957461
10.27693333,0.028989286
10.3103,0.039065454
10.34366667,0.041421933
10.37703333,0.043740408
10.4104,0.041685359
10.44376667,0.034477045
10.47713333,0.022162211
10.5105,0.011046469
10.54386667,-0.002524897
10.57723333,-0.01166852
10.6106,-0.019991603
10.64396667,-0.026038978
10.67733333,-0.024294634
10.7107,-0.022583729
10.74406667,-0.014122946
10.77743333,-0.00373495
10.8108,0.009076004
10.84416667,0.021526342
10.87753333,0.032040934
10.9109,0.038735874
10.94426667,0.04475167
10.97763333,0.045861372
11.011,0.043420818
11.04436667,0.036824055
11.07773333,0.026104074
11.1111,0.01564371
11.14446667,0.003567128
11.17783333,-0.010225892
11.2112,-0.019263541
11.24456667,-0.02763613
11.27793333,-0.033373845
11.3113,-0.032158999
11.34466667,-0.022467366
11.37803333,0.004312852
11.4114,0.05653289
11.44476667,0.157565783
11.47813333,0.294179347
11.5115,0.467996802
